Id,Sentiment,Pasangan Calon,Tweet,preprocessing,preprobaru
29,negative,Agus-Sylvi,"@AdjieRimbawan isu lama diangkat lagi, video lama dishare lagi, padahal video sudah disebar buzzer #AHY eh jelang #putaranke2 disebar lagi",adjierimbawan isu angkat video disebarkan video sebar buzzer agus harimurti yudhoyono eh jelang putaranke sebar,adjierimbawan isu angkat video sebar video sebar buzzer agus hari i yudhoyono eh jelang putaranke sebar
30,negative,Agus-Sylvi,Baru tau Bu Carik @luviku tidak coblos #AHY kemarin. Piss,tau bu carik luviku coblos agus harimurti yudhoyono kemarin piss,tau bu carik luviku coblos agus hari i yudhoyono kemarin piss
31,negative,Agus-Sylvi,"Awas ye kalo minta dukungan suara pendukung #AHY	",awas iya kalau dukung suara dukung agus harimurti yudhoyono,awas iya dukung suara dukung agus hari i yudhoyono
32,negative,Agus-Sylvi,Ini Dia Pelaku Pengirim SMS Gelap Antasari Azhar #Indonesia #SBY #AHY #Anies #Ahok #Berita #JumatBerkah #Rizieq,laku kirim sms gelap antasari azhar indonesia susilo bambang yudhoyono agus harimurti yudhoyono anies ahok berita jumat berkah rizieq,laku kirim sms gelap antasari azhar indonesia susilo bambang yudhoyono agus hari i yudhoyono anies ahok berita jumat berkah rizieq
33,negative,Agus-Sylvi,Antasari Diancam Harry Tanoe https://youtu.be/9KbbpAjibTc  #Antasari #ahok #Sby #AHY #berita #MetroTV #Indonesia #JumatBerkah #KimJongNam,antasari ancam harry tanoe antasari ahok susilo bambang yudhoyono agus harimurti yudhoyono berita metrotv indonesia jumat berkah kimjongnam,antasari ancam harry tanoe antasari ahok susilo bambang yudhoyono agus hari i yudhoyono berita metrotv indonesia jumat berkah kimjongnam
34,negative,Agus-Sylvi,"Tuduhan terhadap #AHY yg kerap dilontarkan: anak ingusan dan cuma mayor, sekarang tak terdengar lagi. Dudah berubah menjadi sanjungan!?",tuduh agus harimurti yudhoyono yang kerap lontar anak ingus mayor dengar dudah ubah sanjung,tuduh agus hari i yudhoyono kerap lontar anak ingus mayor dengar dudah ubah sanjung
35,negative,Agus-Sylvi,JOKE terbaik selama pilkada serentak 2017 #bravo @masril_pku @Chilli_Pari #AHY.,joke baik pilihan kepala daerah serentak bravo masril pku chilli pari agus harimurti yudhoyono,joke pilih kepala daerah serentak bravo masril pku chilli pari agus hari i yudhoyono
36,negative,Agus-Sylvi,Jangan curiga dulu saldonya bisa di kenti seperti BLT orang mau berbuat baik belum apa2 sudah curiga mekanismenya seperti apa #AHY,curiga saldo kenti sepe i bantuan langsung tunai orang buat curiga mekanisme sepe i agus harimurti yudhoyono,curiga saldo kenti sepe i bantu langsung tunai orang curiga mekanisme sepe i agus hari i yudhoyono
37,negative,Agus-Sylvi,ahoker masih bully #AHY,ahoker bully agus harimurti yudhoyono,ahoker bully agus hari i yudhoyono
38,negative,Agus-Sylvi,Sayang mayor #AHY termasuk yang dikader untuk pemimpin masa depan Dari SMA taruna beliau selalu yang teratas Lagi2 itu pilihan #pensiundini,sayang mayor agus harimurti yudhoyono kader pimpin sama taruna beliau atas pilih pensiundini,sayang mayor agus hari i yudhoyono kader pimpin taruna beliau pilih pensiundini
39,negative,Agus-Sylvi,setuju bangett.. banyak yang tidak bersyukur kemrin tidak banjir sekarang malah sibuk mencari pembelaan #jangan_sombong #AHY #banjirjkt,tuju banget syukur kemrin banjir sibuk cari bela sombong agus harimurti yudhoyono banjirjkt,tuju banget syukur kemrin banjir sibuk cari bela sombong agus hari i yudhoyono banjirjkt
40,negative,Agus-Sylvi,pakai sedotan atau sodetan versi #AHY,pakai sedot sodet versi agus harimurti yudhoyono,pakai sedot sodet versi agus hari i yudhoyono
41,negative,Agus-Sylvi,Hellloooo.... Suara rakyat.. Ngerti suara rakyat? Bukan suaranya #AHY or dek @AgusYudhoyono.. Ngopi dulu gih.. #PenikmatKopi,hellloooo suara rakyat nge i suara rakyat suara agus harimurti yudhoyono orang dek agusyudhoyono minum kopi gih penikmatkopi,hellloooo suara rakyat nge i suara rakyat suara agus hari i yudhoyono orang dek agusyudhoyono minum kopi gih penikmatkopi
42,negative,Agus-Sylvi,Cari teman kok cara gitu ya.. pdhal #AHY sdh jelas. Gubernur Baru...@MasTBP,cari teman begitu ya padahal agus harimurti yudhoyono sudah gubernur mastbp,cari teman ya agus hari i yudhoyono gubernur mastbp
43,negative,Agus-Sylvi,"secara kesatria dan lapang dada ternyata hoax, yang ada hanya kalah ya sudah masih menang banyak ulama bayaran #ahy",kesatria lapang dada hoaks kalah ya menang ulama bayar agus harimurti yudhoyono,kesatria lapang dada hoaks kalah ya menang ulama bayar agus hari i yudhoyono
44,negative,Agus-Sylvi,"Agus tersingkir, Ahok & Anies rebutan suara AHY untuk kepentingan kelompok   lewat @YouTube #ahok #anies #ahy #pilgub",agus singkir ahok anies rebut suara agus harimurti yudhoyono penting kelompok youtube ahok anies agus harimurti yudhoyono pilihan gubernur,agus singkir ahok anies rebut suara agus hari i yudhoyono kelompok youtube ahok anies agus hari i yudhoyono pilih gubernur
45,negative,Agus-Sylvi,Meskipun #AHY kehilangan kesempatan untuk menduduki Gubernur DKI 2017-2022,agus harimurti yudhoyono hilang sempat duduk gubernur daerah khusus ibukota,agus hari i yudhoyono hilang duduk gubernur daerah khusus ibu kota
46,negative,Agus-Sylvi,Banyak konstituen #AHY risih sama mulutnya Ahok tapi kalau diminta pilih Anies dengan gerombolan khilafah dibelakangnya lebih memilih Ahok,konstituen agus harimurti yudhoyono risih mulut ahok pilih anies gerombol khilafah belakang pilih ahok,konstituen agus hari i yudhoyono risih mulut ahok pilih anies gerombol khilafah pilih ahok
47,negative,Agus-Sylvi,Cari teman ni yee.1dan3 punya keinginan sama Gubernur Baru...tunggu dlu hasil resmi KPU baru dengar pernyataan #AHY,cari teman nih iya gubernur tunggu dulu hasil resmi komisi pemelihan umum dengar nyata agus harimurti yudhoyono,cari teman nih iya gubernur tunggu hasil resmi komisi pemelihan dengar nyata agus hari i yudhoyono
48,negative,Agus-Sylvi,blunder itu ya dulu hina2 #AHY tapi sekarang butuh 17% suara dan harus ngemis minta sama orang yang dulu di hina2. JLEB!,blunder ya hina agus harimurti yudhoyono butuh suara mengemis orang hina jleb,blunder ya hina agus hari i yudhoyono butuh suara emis orang hina jleb
49,negative,Agus-Sylvi,Masih mau mencaci maki #AHY dan Pepo Memo nya?! Kalian hrs mengemis minta suara 17% kpd orang2 yang selama ini kalian hina!!!!!!,caci maki agus harimurti yudhoyono pepo memo nya harus emis suara kepada orang hina,caci maki agus hari i yudhoyono pepo memo nya emis suara orang hina
50,negative,Agus-Sylvi,Golput lebih tinggi daripada pemilih #AHY ya nampaknya. #pilkadadki2017,golput pilih agus harimurti yudhoyono ya nampaknya pilkadadki,golput pilih agus hari i yudhoyono ya nampaknya pilkadadki
51,negative,Agus-Sylvi,Kalau merhatiin relawan #AHY saat ini minta rehat itu karena ada hal yang ganjal mungkin harus ada Islah dengan relawan #AniesSandi dulu.,memperhatikan rawan agus harimurti yudhoyono rehat ganjal islah rawan aniessandi,perhati rawan agus hari i yudhoyono rehat ganjal islah rawan aniessandi
52,negative,Agus-Sylvi,"#AHY, pakar mantan, sby, Ini Surat Anas Urbaningrum Dari Jeruji Besi, Sindiran Buat Mantan?",agus harimurti yudhoyono pakar mantan susilo bambang yudhoyono surat anas urbaningrum jeruji besi sindir mantan,agus hari i yudhoyono pakar mantan susilo bambang yudhoyono surat anas urbaningrum jeruji besi sindir mantan
53,negative,Agus-Sylvi,Jangan tanya aku. aku sekeluarga pemilih #AHY. Kalau program DP 0% nyata. aku sekeluarga milih #3. https://twitter.com/totonih/status/,keluarga pilih agus harimurti yudhoyono program uang muka nyata keluarga memilih,keluarga pilih agus hari i yudhoyono program uang muka nyata keluarga pilih
54,negative,Agus-Sylvi,"#AHY-Sylvi, Anies-Sandiaga, Basuki-Djarot, Debat Pilkada DKI 2017, Jangan Jual Mimpi Demi Jadi Gubernur...",agus harimurti yudhoyono sylvi anies sandiaga basuki djarot debat pilihan kepala daerah daerah khusus ibukota jual mimpi gubernur,agus hari i yudhoyono sylvi anies sandiaga basuki djarot debat pilih kepala daerah daerah khusus ibu kota jual mimpi gubernur
55,negative,Agus-Sylvi,ahhhh bukannya karena bang aji ada disitu yang bikin kalah #AHY?,ah bang aji situ bikin kalah agus harimurti yudhoyono,ah bang aji situ bikin kalah agus hari i yudhoyono
56,negative,Agus-Sylvi,"Mungkin saya, dengan rendah hati, bisa meminta pendukung paslon 1 yang masih berat hati, untuk melihat foto ini sejenak #AHY",rendah hati dukung pasangan calon berat hati foto agus harimurti yudhoyono,rendah hati dukung pasang calon berat hati foto agus hari i yudhoyono
57,negative,Agus-Sylvi,Aku bangga jadi anak memo. #AHY #moshing,bangga anak memo agus harimurti yudhoyono moshing,bangga anak memo agus hari i yudhoyono moshing
58,negative,Agus-Sylvi,Pendukung #AHY sulit melupakan bully2 seperti ini,dukung agus harimurti yudhoyono sulit lupa bully sepe i,dukung agus hari i yudhoyono sulit lupa bully sepe i
59,negative,Agus-Sylvi,pantas saja #AHY hancur,agus harimurti yudhoyono hancur,agus hari i yudhoyono hancur
60,negative,Agus-Sylvi,"anggap saja bisa, sebulan kemudian pada dijual (pindah tangan) ke orang2 elit partai gerindra dan pks #pilkadadki #ahy",anggap bulan jual pindah tangan orang elite pak ai gerindra partai keadilan sejahtera pilkadadki agus harimurti yudhoyono,anggap jual pindah tangan orang elite ai gerindra pak ai adil sejahtera pilkadadki agus hari i yudhoyono
61,negative,Agus-Sylvi,"#AHY, antasari, konferensi pers sby, sby, Konferensi Pers SBY seperti Rengekan Anak Kecil",agus harimurti yudhoyono antasari konferensi pers susilo bambang yudhoyono susilo bambang yudhoyono konferensi pers susilo bambang yudhoyono sepe i rengek anak,agus hari i yudhoyono antasari konferensi pers susilo bambang yudhoyono susilo bambang yudhoyono konferensi pers susilo bambang yudhoyono sepe i rengek anak
62,negative,Agus-Sylvi,Tim yang tidak pernah tidur #ahy,tim tidur agus harimurti yudhoyono,tim tidur agus hari i yudhoyono
63,negative,Agus-Sylvi,Coba beretika bila ingin dukungan dari konstituen setia #AHY. Jangan menipu dengan membuat meme dan berita palsu. Rachland Nashidik,coba etika dukung konstituen setia agus harimurti yudhoyono tipu meme berita palsu rachland nashidik,coba etika dukung konstituen setia agus hari i yudhoyono tipu meme berita palsu rachland nashidik
64,negative,Agus-Sylvi,"Kasihan #AHY ,, Tidak menyadari ada musuh dalam sarung Selfienya sebagai motivasi terselubung hmmm.",kasihan agus harimurti yudhoyono sadar musuh sarung selfienya motivasi selubung hmmm,kasihan agus hari i yudhoyono sadar musuh sarung selfienya motivasi selubung hmmm
65,negative,Agus-Sylvi,amieeennnnn dan tidak lupa dengan janji2 manis saat kampanye..#AHY Sang Mayor Sejati,amieeennnnn lupa janji manis kampanye agus harimurti yudhoyono sang mayor sejati,amieeennnnn lupa janji manis kampanye agus hari i yudhoyono sang mayor sejati
66,negative,Agus-Sylvi,"Pada Pilkada DKI, AHY dan SBY jadi target hoax dan fitnah yang dilakukan akun-akun pendukung Ahok.",pilihan kepala daerah daerah khusus ibukota agus harimurti yudhoyono susilo bambang yudhoyono target hoaks fitnah akun akun dukung ahok,pilih kepala daerah daerah khusus ibu kota agus hari i yudhoyono susilo bambang yudhoyono target hoaks fitnah akun akun dukung ahok
67,negative,Agus-Sylvi,"AHY masih mentah tapi mau dikarbit demokrat, melihat pilkada dki mereka tahu bahwa kemenangan pemilu cukup memakai sentimen sara saja",agus harimurti yudhoyono mentah dikarbit demokrat pilihan kepala daerah daerah khusus ibukota menang milu pakai sentimen sara,agus hari i yudhoyono mentah dikarbit demokrat pilih kepala daerah daerah khusus ibu kota menang milu pakai sentimen sara
68,negative,Agus-Sylvi,"Akibat pernyataan Antasari, suara AHY melorot pada Pilkada DKI.",akibat nyata antasari suara agus harimurti yudhoyono lorot pilihan kepala daerah daerah khusus ibukota,akibat nyata antasari suara agus hari i yudhoyono lorot pilih kepala daerah daerah khusus ibu kota
69,negative,Agus-Sylvi,"Enam bulan kampanye pilkada di kubu AHY, pendukung Ahok sibuk serang program AHY. Tidak pernah mereka kampanye program Ahok sendiri",enam kampanye pilihan kepala daerah kubu agus harimurti yudhoyono dukung ahok sibuk serang program agus harimurti yudhoyono kampanye program ahok,enam kampanye pilih kepala daerah kubu agus hari i yudhoyono dukung ahok sibuk serang program agus hari i yudhoyono kampanye program ahok
70,negative,Agus-Sylvi,(13) namun apa yang dicontohkan AHY dan pendukungnya tak terjadi paska putaran kedua Pilkada DKI Jakarta. Perentangan menjadi semakin tajam.,contoh agus harimurti yudhoyono dukung paska putar pilihan kepala daerah daerah khusus ibukota jaka a rentang tajam,contoh agus hari i yudhoyono dukung paska putar pilih kepala daerah daerah khusus ibu kota jaka a rentang tajam
71,negative,Agus-Sylvi,AHY dan Tim berjalan menjauh dari hiruk pikuk Pilkada. Melanjutkan perjalanan panjang politik mereka dengan rasa kecewa @panca66 @bambangelf,agus harimurti yudhoyono tim jalan jauh hiruk pikuk pilihan kepala daerah lanjut jalan politik kecewa panca bambangelf,agus hari i yudhoyono tim jalan hiruk pikuk pilih kepala daerah jalan politik kecewa panca bambangelf
72,negative,Agus-Sylvi,"Ketika AHY kalah & berpidato, semua timnya terdiam menangis, lalu setelah itu mereka melepaskan diri dari pilkada DKI. @panca66 @bambangelf",agus harimurti yudhoyono kalah pidato tim diam menang lepas pilihan kepala daerah daerah khusus ibukota panca bambangelf,agus hari i yudhoyono kalah pidato tim diam menang lepas pilih kepala daerah daerah khusus ibu kota panca bambangelf
73,negative,Agus-Sylvi,"sejujurnya penilaian subyektif saya, terlalu cepat bila AHY 2019. Kalah di pilkada bukan modal, tapi catatan negatif.",jujur nilai subyektif cepat agus harimurti yudhoyono kalah pilihan kepala daerah modal catat negatif,jujur nilai subyektif cepat agus hari i yudhoyono kalah pilih kepala daerah modal catat negatif
74,negative,Agus-Sylvi,Tolak bajingan tengik AHY tukang sogok pemilih ini. Bangsat AHY ini sungguh berbahaya,tolak bajing tengik agus harimurti yudhoyono tukang sogok pilih bangsat agus harimurti yudhoyono sungguh bahaya,tolak bajing tengik agus hari i yudhoyono tukang sogok pilih bangsat agus hari i yudhoyono sungguh bahaya
75,negative,Agus-Sylvi,tolak ahy yang berpolitik membawa agama #AHYMaininSARA,tolak agus harimurti yudhoyono politik bawa agama ahymaininsara,tolak agus hari i yudhoyono politik bawa agama ahymaininsara
76,negative,Agus-Sylvi,"Astaga ini pendukung AHY tidak terima sekali dengan hasil survey,harusnya jadi tolak acuan untuk lebih semangat #efeknontonmetro",astaga dukung agus harimurti yudhoyono terima hasil survei tolak acu semangat efeknontonmetro,astaga dukung agus hari i yudhoyono terima hasil survei tolak acu semangat efeknontonmetro
77,negative,Agus-Sylvi,"Sah-sah aja, Justru itu menjadi tolak ukur kedewasaan warga dki, kalo AHY menang artinya pola pikir warga masih primitif.. #PolitikUangAHY",sah sah saja tolak ukur dewasa warga daerah khusus ibukota kalau agus harimurti yudhoyono menang a inya pola pikir warga primitif politikuangahy,sah sah tolak ukur dewasa warga daerah khusus ibu kota agus hari i yudhoyono menang a inya pola pikir warga primitif politikuangahy
78,negative,Agus-Sylvi,Suara Warga Cuma Dihargai SEMBAKO TOLAK AHY Sudah melakukan penyuapan kepada warga @Abaaah @MurtadhaOne @RinjaniJB @fariz1234 @ananghijau,suara warga harga sembako tolak agus harimurti yudhoyono suap warga abaaah mu adhaone rinjanijb fariz ananghijau,suara warga harga sembako tolak agus hari i yudhoyono suap warga abaaah mu adhaone rinjanijb fariz ananghijau
79,negative,Agus-Sylvi,Sejak AHY tidak ikut pilkada lagi sudah tidak asyik ya,agus harimurti yudhoyono pilihan kepala daerah asyik ya,agus hari i yudhoyono pilih kepala daerah asyik ya
80,negative,Agus-Sylvi,tinggal seleksi tendemnya. Di pilkada DKI AHY kalah karena tendemnya salah pilih. Malah mengurangi kualitas AHY,tinggal seleksi tendemnya pilihan kepala daerah daerah khusus ibukota agus harimurti yudhoyono kalah tendemnya salah pilih kurang kualitas agus harimurti yudhoyono,tinggal seleksi tendemnya pilih kepala daerah daerah khusus ibu kota agus hari i yudhoyono kalah tendemnya salah pilih kualitas agus hari i yudhoyono
81,negative,Agus-Sylvi,Ternyata segelintir pendukung AHY merasa ditikung di saat terakhir karena adanya tweet dari akun resmi parpol pendukung Anies-Sandi #Pilkada,gelintir dukung agus harimurti yudhoyono tikung twit akun resmi partai politik dukung anies sandi pilihan kepala daerah,gelintir dukung agus hari i yudhoyono tikung twit akun resmi pak ai politik dukung anies sandi pilih kepala daerah
82,negative,Agus-Sylvi,AHY Menanggung Akibat Cuitan Ayahnya yang Tak Produktif.,agus harimurti yudhoyono tanggung akibat cuit ayah produktif,agus hari i yudhoyono tanggung akibat cuit ayah produktif
83,negative,Agus-Sylvi,"kering sudah darah @ahy saatnya menghisap darah @anisandi mumpung stok darahnya bergudang-gudang, darah hantu diminum setan #pilkadadki",kering darah agus harimurti yudhoyono menghisap darah anisandi mumpung stok darah gudang gudang darah hantu minum setan pilkadadki,kering darah agus hari i yudhoyono menghisap darah anisandi mumpung stok darah gudang gudang darah hantu minum setan pilkadadki
84,negative,Agus-Sylvi,"Sebenarnya reaksi pendukung AHY ini tak perlu bersikap Baper seperti itu, karena tak ada yang mau jadi pecundang di ajang Pilkada #PilkadaDK",reaksi dukung agus harimurti yudhoyono sikap bawa perasaan sepe i cundang ajang pilihan kepala daerah pilkadadk,reaksi dukung agus hari i yudhoyono sikap bawa asa sepe i cundang ajang pilih kepala daerah pilkadadk
85,negative,Agus-Sylvi,"Dengan Suara Bergetar, AHY Minta Maaf Sudah Kecewakan Pendukungnya. http://bit.ly/2kSOA2G  #pilkadadki",suara getar agus harimurti yudhoyono maaf kecewa dukung pilkadadki,suara getar agus hari i yudhoyono maaf kecewa dukung pilkadadki
86,negative,Agus-Sylvi,"AHY Kalah di Kandang, Begini Respon Para Tetangga. http://bit.ly/2kpEDv4 #pilkadadki",agus harimurti yudhoyono kalah kandang respon tetangga pilkadadki,agus hari i yudhoyono kalah kandang respon tetangga pilkadadki
87,negative,Agus-Sylvi,"lini pertahanan AHY rapuh debat efek, aksi 112 efek dan Antasari efek #pilkadaDKI",lini pe ahanan agus harimurti yudhoyono rapuh debat efek aksi efek antasari efek pilkadadki,lini pe ahanan agus hari i yudhoyono rapuh debat efek aksi efek antasari efek pilkadadki
88,negative,Agus-Sylvi,Gagal di Pilkada DKI Jakarta AHY Diisukan Maju ke Pilgub Jatim https://goo.gl/fb/ECcmdW  #headlines #politikbirokrasi #pilkadadki,gagal pilihan kepala daerah daerah khusus ibukota jaka a agus harimurti yudhoyono isu maju pilihan gubernur jawa timur headlines politikbirokrasi pilkadadki,gagal pilih kepala daerah daerah khusus ibu kota jaka a agus hari i yudhoyono isu maju pilih gubernur jawa timur headlines politikbirokrasi pilkadadki
